generation,mean_fitness,mean_evaluation_count
0,5.0,80.0
1,10.0,160.0
2,14.8,240.0
3,19.4,320.0
4,23.3,400.0
5,27.9,480.0
6,32.2,560.0
7,36.0,640.0
8,40.0,720.0
9,44.4,800.0
10,48.3,880.0
11,52.9,960.0
12,56.8,1040.0
13,60.9,1120.0
14,65.3,1200.0
15,69.5,1280.0
16,73.8,1360.0
17,78.4,1440.0
18,83.0,1520.0
19,87.0,1600.0
20,91.5,1680.0
21,95.7,1760.0
22,99.9,1840.0
23,104.6,1920.0
24,108.0,2000.0
25,111.6,2080.0
26,115.2,2160.0
27,119.2,2240.0
28,123.4,2320.0
29,126.9,2400.0
30,131.1,2480.0
31,134.8,2560.0
32,138.6,2640.0
33,142.5,2720.0
34,146.4,2800.0
35,150.6,2880.0
36,154.7,2960.0
37,158.8,3040.0
38,162.1,3120.0
39,165.3,3200.0
40,169.0,3280.0
41,172.6,3360.0
42,176.1,3440.0
43,179.2,3520.0
44,183.1,3600.0
45,185.6,3680.0
46,189.7,3760.0
47,192.8,3840.0
48,196.3,3920.0
49,199.7,4000.0
50,203.5,4080.0
51,206.5,4160.0
52,209.2,4240.0
53,212.8,4320.0
54,215.4,4400.0
55,219.3,4480.0
56,223.6,4560.0
57,227.0,4640.0
58,229.0,4720.0
59,231.7,4800.0
60,233.9,4880.0
61,236.9,4960.0
62,240.6,5040.0
63,242.9,5120.0
64,245.8,5200.0
65,249.1,5280.0
66,251.3,5360.0
67,254.1,5440.0
68,257.3,5520.0
69,260.2,5600.0
70,264.0,5680.0
71,267.0,5760.0
72,269.5,5840.0
73,271.2,5920.0
74,272.4,6000.0
75,275.4,6080.0
76,278.7,6160.0
77,281.5,6240.0
78,283.7,6320.0
79,286.2,6400.0
80,289.0,6480.0
81,291.5,6560.0
82,293.5,6640.0
83,296.3,6720.0
84,298.8,6800.0
85,301.5,6880.0
86,304.0,6960.0
87,306.9,7040.0
88,309.2,7120.0
89,311.2,7200.0
90,314.1,7280.0
91,316.2,7360.0
92,319.7,7440.0
93,321.7,7520.0
94,324.1,7600.0
95,326.3,7680.0
96,329.3,7760.0
97,331.3,7840.0
98,334.3,7920.0
99,336.8,8000.0
100,337.9,8080.0
101,339.2,8160.0
102,340.9,8240.0
103,342.7,8320.0
104,345.1,8400.0
105,346.7,8480.0
106,348.2,8560.0
107,350.3,8640.0
108,351.9,8720.0
109,353.4,8800.0
110,355.4,8880.0
111,357.2,8960.0
112,357.9,9040.0
113,360.3,9120.0
114,362.7,9200.0
115,364.6,9280.0
116,366.1,9360.0
117,367.5,9440.0
118,370.8,9520.0
119,373.3,9600.0
120,375.1,9680.0
121,376.4,9760.0
122,378.1,9840.0
123,379.9,9920.0
124,382.8,10000.0
125,384.6,10080.0
126,385.8,10160.0
127,387.5,10240.0
128,389.0,10320.0
129,390.9,10400.0
130,392.9,10480.0
131,394.3,10560.0
132,395.7,10640.0
133,396.9,10720.0
134,398.2,10800.0
135,399.8,10880.0
136,401.4,10960.0
137,403.3,11040.0
138,405.5,11120.0
139,406.8,11200.0
140,408.1,11280.0
141,409.9,11360.0
142,411.3,11440.0
143,413.0,11520.0
144,414.0,11600.0
145,415.6,11680.0
146,417.8,11760.0
147,419.3,11840.0
148,421.7,11920.0
149,423.2,12000.0
150,425.5,12080.0
151,427.2,12160.0
152,429.3,12240.0
153,430.3,12320.0
154,431.6,12400.0
155,433.0,12480.0
156,434.4,12560.0
157,436.0,12640.0
158,437.3,12720.0
159,438.6,12800.0
160,440.0,12880.0
161,441.3,12960.0
162,442.7,13040.0
163,444.0,13120.0
164,446.3,13200.0
165,447.7,13280.0
166,448.8,13360.0
167,449.5,13440.0
168,450.3,13520.0
169,451.5,13600.0
170,453.0,13680.0
171,454.7,13760.0
172,456.0,13840.0
173,457.3,13920.0
174,458.3,14000.0
175,459.7,14080.0
176,461.1,14160.0
177,462.0,14240.0
178,462.9,14320.0
179,464.8,14400.0
180,466.3,14480.0
181,467.9,14560.0
182,468.7,14640.0
183,470.1,14720.0
184,471.2,14800.0
185,472.1,14880.0
186,473.1,14960.0
187,474.3,15040.0
188,475.2,15120.0
189,477.0,15200.0
190,478.3,15280.0
191,479.5,15360.0
192,480.8,15440.0
193,481.3,15520.0
194,482.8,15600.0
195,483.6,15680.0
196,484.6,15760.0
197,485.4,15840.0
198,486.4,15920.0
199,487.4,16000.0
200,488.2,16080.0
201,488.7,16160.0
202,489.7,16240.0
203,490.8,16320.0
204,491.5,16400.0
205,492.5,16480.0
206,493.7,16560.0
207,494.7,16640.0
208,495.8,16720.0
209,497.0,16800.0
210,497.5,16880.0
211,498.5,16960.0
212,499.5,17040.0
213,499.8,17120.0
214,500.7,17200.0
215,501.8,17280.0
216,502.5,17360.0
217,504.0,17440.0
218,505.3,17520.0
219,506.6,17600.0
220,507.4,17680.0
221,508.3,17760.0
222,508.7,17840.0
223,509.6,17920.0
224,510.8,18000.0
225,511.2,18080.0
226,512.0,18160.0
227,513.2,18240.0
228,514.1,18320.0
229,515.0,18400.0
230,516.3,18480.0
231,516.8,18560.0
232,517.6,18640.0
233,518.3,18720.0
234,519.3,18800.0
235,520.5,18880.0
236,521.4,18960.0
237,522.7,19040.0
238,523.1,19120.0
239,523.5,19200.0
240,524.4,19280.0
241,525.7,19360.0
242,526.4,19440.0
243,527.4,19520.0
244,527.9,19600.0
245,529.2,19680.0
246,530.0,19760.0
247,530.8,19840.0
248,532.7,19920.0
249,533.5,20000.0
250,534.2,20080.0
251,535.2,20160.0
252,536.0,20240.0
253,536.6,20320.0
254,537.3,20400.0
255,538.6,20480.0
256,539.7,20560.0
257,540.1,20640.0
258,541.0,20720.0
259,541.5,20800.0
260,542.4,20880.0
261,542.7,20960.0
262,543.1,21040.0
263,543.6,21120.0
264,544.1,21200.0
265,545.1,21280.0
266,546.4,21360.0
267,547.5,21440.0
268,548.0,21520.0
269,548.8,21600.0
270,549.2,21680.0
271,550.2,21760.0
272,551.0,21840.0
273,552.0,21920.0
274,553.1,22000.0
275,553.5,22080.0
276,554.6,22160.0
277,555.0,22240.0
278,556.1,22320.0
279,556.9,22400.0
280,558.1,22480.0
281,558.3,22560.0
282,558.9,22640.0
283,559.2,22720.0
284,560.1,22800.0
285,560.8,22880.0
286,562.3,22960.0
287,563.0,23040.0
288,563.8,23120.0
289,564.0,23200.0
290,564.3,23280.0
291,564.7,23360.0
292,565.0,23440.0
293,565.5,23520.0
294,566.3,23600.0
295,566.8,23680.0
296,567.3,23760.0
297,568.3,23840.0
298,569.0,23920.0
299,569.6,24000.0
300,570.5,24080.0
301,571.0,24160.0
302,571.9,24240.0
303,572.8,24320.0
304,573.3,24400.0
305,574.0,24480.0
306,574.6,24560.0
307,575.0,24640.0
308,575.8,24720.0
309,576.5,24800.0
310,577.2,24880.0
311,577.8,24960.0
312,578.1,25040.0
313,578.7,25120.0
314,579.4,25200.0
315,580.4,25280.0
316,580.5,25360.0
317,581.6,25440.0
318,582.5,25520.0
319,583.3,25600.0
320,584.1,25680.0
321,584.8,25760.0
322,586.0,25840.0
323,586.8,25920.0
324,587.7,26000.0
325,588.0,26080.0
326,588.5,26160.0
327,589.2,26240.0
328,590.1,26320.0
329,590.5,26400.0
330,590.9,26480.0
331,591.9,26560.0
332,592.0,26640.0
333,592.6,26720.0
334,592.7,26800.0
335,592.7,26880.0
336,592.9,26960.0
337,593.3,27040.0
338,593.7,27120.0
339,594.1,27200.0
340,595.0,27280.0
341,595.1,27360.0
342,595.5,27440.0
343,596.6,27520.0
344,597.1,27600.0
345,598.0,27680.0
346,598.3,27760.0
347,598.4,27840.0
348,598.7,27920.0
349,599.8,28000.0
350,600.8,28080.0
351,601.4,28160.0
352,601.9,28240.0
353,602.3,28320.0
354,602.4,28400.0
355,603.4,28480.0
356,603.7,28560.0
357,603.9,28640.0
358,604.3,28720.0
359,604.9,28800.0
360,605.3,28880.0
361,605.8,28960.0
362,606.5,29040.0
363,606.7,29120.0
364,607.4,29200.0
365,607.9,29280.0
366,608.5,29360.0
367,609.4,29440.0
368,610.1,29520.0
369,610.3,29600.0
370,610.6,29680.0
371,611.3,29760.0
372,611.5,29840.0
373,612.1,29920.0
374,612.6,30000.0
375,613.9,30080.0
376,614.6,30160.0
377,614.8,30240.0
378,614.9,30320.0
379,615.1,30400.0
380,615.5,30480.0
381,615.6,30560.0
382,615.9,30640.0
383,616.6,30720.0
384,617.1,30800.0
385,617.2,30880.0
386,617.9,30960.0
387,618.6,31040.0
388,619.3,31120.0
389,620.0,31200.0
390,621.3,31280.0
391,622.1,31360.0
392,622.5,31440.0
393,622.9,31520.0
394,623.4,31600.0
395,623.8,31680.0
396,624.3,31760.0
397,624.6,31840.0
398,624.9,31920.0
399,625.2,32000.0
400,625.8,32080.0
401,626.2,32160.0
402,626.7,32240.0
403,627.3,32320.0
404,627.6,32400.0
405,627.8,32480.0
406,628.1,32560.0
407,628.6,32640.0
408,629.5,32720.0
409,629.8,32800.0
410,630.3,32880.0
411,630.6,32960.0
412,630.9,33040.0
413,631.3,33120.0
414,631.9,33200.0
415,632.3,33280.0
416,633.1,33360.0
417,633.7,33440.0
418,633.9,33520.0
419,634.2,33600.0
420,634.4,33680.0
421,634.9,33760.0
422,635.2,33840.0
423,635.4,33920.0
424,635.9,34000.0
425,636.1,34080.0
426,636.5,34160.0
427,636.6,34240.0
428,637.0,34320.0
429,637.2,34400.0
430,637.7,34480.0
431,638.4,34560.0
432,638.8,34640.0
433,639.2,34720.0
434,639.8,34800.0
435,640.0,34880.0
436,640.2,34960.0
437,640.4,35040.0
438,640.6,35120.0
439,640.9,35200.0
440,641.5,35280.0
441,642.1,35360.0
442,642.5,35440.0
443,643.3,35520.0
444,643.6,35600.0
445,644.0,35680.0
446,644.3,35760.0
447,645.1,35840.0
448,645.4,35920.0
449,645.7,36000.0
450,646.0,36080.0
451,646.6,36160.0
452,647.1,36240.0
453,647.6,36320.0
454,647.6,36400.0
455,648.0,36480.0
456,648.4,36560.0
457,648.9,36640.0
458,649.2,36720.0
459,649.4,36800.0
460,649.8,36880.0
461,649.9,36960.0
462,650.3,37040.0
463,650.8,37120.0
464,651.5,37200.0
465,651.9,37280.0
466,652.3,37360.0
467,652.6,37440.0
468,653.0,37520.0
469,653.5,37600.0
470,653.8,37680.0
471,654.2,37760.0
472,654.7,37840.0
473,655.1,37920.0
474,655.3,38000.0
475,655.6,38080.0
476,655.6,38160.0
477,655.7,38240.0
478,656.5,38320.0
479,656.9,38400.0
480,657.1,38480.0
481,657.4,38560.0
482,657.5,38640.0
483,657.7,38720.0
484,658.4,38800.0
485,658.9,38880.0
486,659.4,38960.0
487,659.9,39040.0
488,660.1,39120.0
489,660.5,39200.0
490,660.9,39280.0
491,661.7,39360.0
492,662.0,39440.0
493,662.3,39520.0
494,662.5,39600.0
495,662.8,39680.0
496,663.3,39760.0
497,663.6,39840.0
498,663.8,39920.0
499,664.4,40000.0
500,664.6,40080.0
501,664.7,40160.0
502,665.0,40240.0
503,665.0,40320.0
504,665.3,40400.0
505,665.6,40480.0
506,665.8,40560.0
507,666.6,40640.0
508,667.2,40720.0
509,667.6,40800.0
510,667.9,40880.0
511,668.3,40960.0
512,668.8,41040.0
513,668.9,41120.0
514,669.2,41200.0
515,669.5,41280.0
516,670.0,41360.0
517,670.5,41440.0
518,670.6,41520.0
519,670.7,41600.0
520,671.1,41680.0
521,671.4,41760.0
522,672.0,41840.0
523,673.0,41920.0
524,673.6,42000.0
525,673.8,42080.0
526,674.2,42160.0
527,674.6,42240.0
528,675.0,42320.0
529,675.1,42400.0
530,675.3,42480.0
531,675.7,42560.0
532,675.8,42640.0
533,676.2,42720.0
534,676.2,42800.0
535,676.4,42880.0
536,676.6,42960.0
537,677.0,43040.0
538,677.3,43120.0
539,677.4,43200.0
540,677.9,43280.0
541,678.5,43360.0
542,678.6,43440.0
543,679.2,43520.0
544,679.9,43600.0
545,681.5,43680.0
546,682.0,43760.0
547,682.3,43840.0
548,682.5,43920.0
549,682.8,44000.0
550,683.0,44080.0
551,683.2,44160.0
552,683.8,44240.0
553,683.9,44320.0
554,684.1,44400.0
555,684.3,44480.0
556,685.0,44560.0
557,685.3,44640.0
558,685.6,44720.0
559,685.9,44800.0
560,686.2,44880.0
561,686.3,44960.0
562,686.6,45040.0
563,686.6,45120.0
564,686.9,45200.0
565,687.1,45280.0
566,687.1,45360.0
567,687.7,45440.0
568,687.8,45520.0
569,688.0,45600.0
570,688.2,45680.0
571,688.6,45760.0
572,688.7,45840.0
573,688.8,45920.0
574,689.0,46000.0
575,689.5,46080.0
576,689.9,46160.0
577,690.1,46240.0
578,690.1,46320.0
579,690.3,46400.0
580,690.4,46480.0
581,690.7,46560.0
582,691.0,46640.0
583,691.1,46720.0
584,691.9,46800.0
585,692.4,46880.0
586,692.5,46960.0
587,692.7,47040.0
588,693.0,47120.0
589,693.3,47200.0
590,693.5,47280.0
591,693.8,47360.0
592,694.2,47440.0
593,694.7,47520.0
594,694.8,47600.0
595,695.2,47680.0
596,695.9,47760.0
597,696.3,47840.0
598,696.6,47920.0
599,696.7,48000.0
600,697.0,48080.0
601,697.4,48160.0
602,697.6,48240.0
603,698.1,48320.0
604,698.3,48400.0
605,698.8,48480.0
606,699.4,48560.0
607,699.6,48640.0
608,700.2,48720.0
609,700.7,48800.0
610,700.9,48880.0
611,701.2,48960.0
612,701.2,49040.0
613,701.5,49120.0
614,701.6,49200.0
615,702.2,49280.0
616,703.2,49360.0
617,703.7,49440.0
618,703.9,49520.0
619,704.1,49600.0
620,704.6,49680.0
621,705.0,49760.0
622,705.3,49840.0
623,705.5,49920.0
624,706.0,50000.0
625,706.1,50080.0
626,706.6,50160.0
627,706.7,50240.0
628,707.4,50320.0
629,707.4,50400.0
630,707.4,50480.0
631,707.6,50560.0
632,708.0,50640.0
633,708.1,50720.0
634,708.2,50800.0
635,708.6,50880.0
636,709.2,50960.0
637,709.4,51040.0
638,709.6,51120.0
639,709.8,51200.0
640,710.0,51280.0
641,710.1,51360.0
642,710.2,51440.0
643,710.6,51520.0
644,710.7,51600.0
645,711.2,51680.0
646,711.3,51760.0
647,711.4,51840.0
648,711.7,51920.0
649,712.0,52000.0
650,712.3,52080.0
651,712.7,52160.0
652,713.1,52240.0
653,713.3,52320.0
654,713.5,52400.0
655,713.6,52480.0
656,713.7,52560.0
657,713.9,52640.0
658,714.3,52720.0
659,714.4,52800.0
660,714.6,52880.0
661,715.1,52960.0
662,715.5,53040.0
663,715.6,53120.0
664,716.3,53200.0
665,716.6,53280.0
666,716.8,53360.0
667,716.9,53440.0
668,717.6,53520.0
669,717.8,53600.0
670,718.1,53680.0
671,718.2,53760.0
672,718.3,53840.0
673,718.7,53920.0
674,719.1,54000.0
675,719.4,54080.0
676,719.6,54160.0
677,720.1,54240.0
678,720.5,54320.0
679,720.9,54400.0
680,721.2,54480.0
681,721.4,54560.0
682,721.9,54640.0
683,722.0,54720.0
684,723.0,54800.0
685,723.2,54880.0
686,723.3,54960.0
687,723.3,55040.0
688,723.5,55120.0
689,723.6,55200.0
690,723.8,55280.0
691,724.0,55360.0
692,724.1,55440.0
693,724.4,55520.0
694,724.8,55600.0
695,725.0,55680.0
696,725.0,55760.0
697,725.1,55840.0
698,725.2,55920.0
699,725.4,56000.0
700,725.9,56080.0
701,726.0,56160.0
702,726.7,56240.0
703,727.1,56320.0
704,727.4,56400.0
705,727.9,56480.0
706,728.3,56560.0
707,728.7,56640.0
708,729.1,56720.0
709,729.2,56800.0
710,729.4,56880.0
711,729.5,56960.0
712,729.7,57040.0
713,729.8,57120.0
714,730.2,57200.0
715,730.3,57280.0
716,730.5,57360.0
717,730.8,57440.0
718,730.9,57520.0
719,731.4,57600.0
720,731.7,57680.0
721,731.8,57760.0
722,732.1,57840.0
723,732.2,57920.0
724,732.2,58000.0
725,732.4,58080.0
726,732.8,58160.0
727,733.0,58240.0
728,733.0,58320.0
729,733.3,58400.0
730,733.6,58480.0
731,734.6,58560.0
732,734.9,58640.0
733,735.3,58720.0
734,735.4,58800.0
735,735.8,58880.0
736,735.8,58960.0
737,735.9,59040.0
738,736.1,59120.0
739,736.2,59200.0
740,736.4,59280.0
741,736.7,59360.0
742,736.9,59440.0
743,737.2,59520.0
744,737.2,59600.0
745,737.3,59680.0
746,737.5,59760.0
747,737.7,59840.0
748,738.0,59920.0
749,738.3,60000.0
750,738.7,60080.0
751,738.7,60160.0
752,738.9,60240.0
753,739.4,60320.0
754,740.0,60400.0
755,740.2,60480.0
756,740.5,60560.0
757,740.7,60640.0
758,741.0,60720.0
759,741.2,60800.0
760,741.3,60880.0
761,741.5,60960.0
762,741.7,61040.0
763,741.9,61120.0
764,742.2,61200.0
765,742.2,61280.0
766,742.4,61360.0
767,742.8,61440.0
768,743.1,61520.0
769,743.1,61600.0
770,743.3,61680.0
771,743.4,61760.0
772,743.6,61840.0
773,744.0,61920.0
774,744.1,62000.0
775,744.4,62080.0
776,744.7,62160.0
777,745.0,62240.0
778,745.2,62320.0
779,745.5,62400.0
780,746.3,62480.0
781,746.6,62560.0
782,746.7,62640.0
783,746.7,62720.0
784,746.8,62800.0
785,746.8,62880.0
786,747.0,62960.0
787,747.3,63040.0
788,747.5,63120.0
789,747.8,63200.0
790,747.9,63280.0
791,748.2,63360.0
792,748.4,63440.0
793,748.5,63520.0
794,748.6,63600.0
795,748.8,63680.0
796,748.9,63760.0
797,749.2,63840.0
798,749.4,63920.0
799,749.4,64000.0
800,749.6,64080.0
801,750.2,64160.0
802,750.5,64240.0
803,750.7,64320.0
804,751.1,64400.0
805,751.4,64480.0
806,751.6,64560.0
807,751.9,64640.0
808,752.1,64720.0
809,752.3,64800.0
810,752.6,64880.0
811,752.7,64960.0
812,753.1,65040.0
813,753.3,65120.0
814,753.5,65200.0
815,753.6,65280.0
816,753.7,65360.0
817,753.9,65440.0
818,754.2,65520.0
819,754.4,65600.0
820,754.6,65680.0
821,754.8,65760.0
822,754.8,65840.0
823,754.9,65920.0
824,755.3,66000.0
825,755.3,66080.0
826,755.6,66160.0
827,755.8,66240.0
828,755.9,66320.0
829,756.3,66400.0
830,756.9,66480.0
831,757.3,66560.0
832,757.5,66640.0
833,757.6,66720.0
834,757.7,66800.0
835,757.7,66880.0
836,758.1,66960.0
837,758.3,67040.0
838,758.6,67120.0
839,758.8,67200.0
840,759.1,67280.0
841,759.4,67360.0
842,759.5,67440.0
843,759.8,67520.0
844,760.0,67600.0
845,760.1,67680.0
846,760.2,67760.0
847,760.4,67840.0
848,760.4,67920.0
849,760.6,68000.0
850,760.6,68080.0
851,760.8,68160.0
852,761.0,68240.0
853,761.0,68320.0
854,761.2,68400.0
855,761.3,68480.0
856,761.3,68560.0
857,761.4,68640.0
858,761.4,68720.0
859,761.6,68800.0
860,761.9,68880.0
861,762.1,68960.0
862,762.4,69040.0
863,762.6,69120.0
864,762.8,69200.0
865,763.1,69280.0
866,763.2,69360.0
867,763.8,69440.0
868,763.9,69520.0
869,764.0,69600.0
870,764.3,69680.0
871,764.4,69760.0
872,764.6,69840.0
873,764.6,69920.0
874,764.8,70000.0
875,765.0,70080.0
876,765.2,70160.0
877,765.3,70240.0
878,765.5,70320.0
879,765.5,70400.0
880,765.6,70480.0
881,765.8,70560.0
882,765.8,70640.0
883,766.0,70720.0
884,766.0,70800.0
885,766.1,70880.0
886,766.5,70960.0
887,766.5,71040.0
888,766.8,71120.0
889,766.9,71200.0
890,767.1,71280.0
891,767.3,71360.0
892,767.5,71440.0
893,767.9,71520.0
894,767.9,71600.0
895,768.1,71680.0
896,768.2,71760.0
897,768.4,71840.0
898,768.8,71920.0
899,768.9,72000.0
900,769.1,72080.0
901,769.1,72160.0
902,769.3,72240.0
903,769.5,72320.0
904,769.7,72400.0
905,769.8,72480.0
906,770.0,72560.0
907,770.1,72640.0
908,770.2,72720.0
909,770.3,72800.0
910,770.6,72880.0
911,770.8,72960.0
912,771.0,73040.0
913,771.1,73120.0
914,771.3,73200.0
915,771.5,73280.0
916,771.7,73360.0
917,771.7,73440.0
918,772.1,73520.0
919,772.7,73600.0
920,772.9,73680.0
921,773.0,73760.0
922,773.1,73840.0
923,773.2,73920.0
924,773.6,74000.0
925,773.6,74080.0
926,773.8,74160.0
927,774.4,74240.0
928,774.6,74320.0
929,774.7,74400.0
930,774.8,74480.0
931,775.1,74560.0
932,775.5,74640.0
933,775.9,74720.0
934,776.2,74800.0
935,776.5,74880.0
936,776.8,74960.0
937,777.2,75040.0
938,777.3,75120.0
939,777.4,75200.0
940,777.5,75280.0
941,777.6,75360.0
942,777.8,75440.0
943,778.2,75520.0
944,778.6,75600.0
945,778.8,75680.0
946,779.0,75760.0
947,779.2,75840.0
948,779.2,75920.0
949,779.2,76000.0
950,779.3,76080.0
951,779.4,76160.0
952,779.6,76240.0
953,779.8,76320.0
954,780.3,76400.0
955,780.3,76480.0
956,780.4,76560.0
957,780.7,76640.0
958,780.9,76720.0
959,781.3,76800.0
960,781.9,76880.0
961,781.9,76960.0
962,782.2,77040.0
963,782.3,77120.0
964,782.6,77200.0
965,783.3,77280.0
966,783.6,77360.0
967,783.7,77440.0
968,783.9,77520.0
969,784.0,77600.0
970,784.2,77680.0
971,784.6,77760.0
972,784.8,77840.0
973,784.9,77920.0
974,785.0,78000.0
975,785.0,78080.0
976,785.3,78160.0
977,785.6,78240.0
978,785.7,78320.0
979,785.7,78400.0
980,785.9,78480.0
981,786.2,78560.0
982,786.2,78640.0
983,786.2,78720.0
984,786.4,78800.0
985,786.7,78880.0
986,786.7,78960.0
987,787.0,79040.0
988,787.4,79120.0
989,787.6,79200.0
990,787.7,79280.0
991,787.9,79360.0
992,788.1,79440.0
993,788.5,79520.0
994,788.6,79600.0
995,788.6,79680.0
996,788.9,79760.0
997,789.0,79840.0
998,789.4,79920.0
999,789.5,80000.0
1000,789.6,80080.0
1001,789.8,80160.0
1002,790.2,80240.0
1003,790.3,80320.0
1004,790.5,80400.0
1005,790.5,80480.0
1006,790.5,80560.0
1007,790.8,80640.0
1008,791.1,80720.0
1009,791.4,80800.0
1010,791.7,80880.0
1011,791.7,80960.0
1012,791.7,81040.0
1013,791.9,81120.0
1014,792.1,81200.0
1015,792.3,81280.0
1016,792.3,81360.0
1017,792.5,81440.0
1018,792.9,81520.0
1019,793.1,81600.0
1020,793.5,81680.0
1021,793.6,81760.0
1022,793.8,81840.0
1023,794.0,81920.0
1024,794.1,82000.0
1025,794.3,82080.0
1026,794.5,82160.0
1027,794.6,82240.0
1028,794.7,82320.0
1029,794.7,82400.0
1030,794.8,82480.0
1031,795.0,82560.0
1032,795.1,82640.0
1033,795.1,82720.0
1034,795.2,82800.0
1035,795.5,82880.0
1036,795.8,82960.0
1037,796.1,83040.0
1038,796.1,83120.0
1039,796.2,83200.0
1040,796.2,83280.0
1041,796.5,83360.0
1042,796.9,83440.0
1043,796.9,83520.0
1044,797.2,83600.0
1045,797.4,83680.0
1046,797.7,83760.0
1047,797.8,83840.0
1048,797.9,83920.0
1049,798.0,84000.0
1050,798.3,84080.0
1051,798.3,84160.0
1052,798.5,84240.0
1053,798.5,84320.0
1054,798.7,84400.0
1055,799.0,84480.0
1056,799.5,84560.0
1057,799.8,84640.0
1058,799.9,84720.0
1059,800.0,84800.0
1060,800.4,84880.0
1061,800.5,84960.0
1062,800.6,85040.0
1063,800.8,85120.0
1064,801.0,85200.0
1065,801.2,85280.0
1066,801.2,85360.0
1067,801.3,85440.0
1068,801.6,85520.0
1069,801.6,85600.0
1070,801.7,85680.0
1071,801.8,85760.0
1072,801.9,85840.0
1073,802.0,85920.0
1074,802.2,86000.0
1075,802.3,86080.0
1076,802.5,86160.0
1077,802.6,86240.0
1078,802.8,86320.0
1079,803.2,86400.0
1080,803.5,86480.0
1081,803.6,86560.0
1082,803.8,86640.0
1083,804.2,86720.0
1084,804.4,86800.0
1085,804.6,86880.0
1086,804.7,86960.0
1087,804.8,87040.0
1088,804.9,87120.0
1089,805.0,87200.0
1090,805.1,87280.0
